row_id,Salary,q1,q3,iqr,lower_bound,upper_bound,log_salary,modified_z_log_salary,is_iqr_outlier,is_low_outlier,is_high_outlier,is_log_mz_outlier,is_log_mz_low_outlier,is_hybrid_outlier,kept_in_analysis
363,195000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.180754837545884,0.9198183629565582,False,False,False,False,False,False,True
364,145000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.884489021402711,0.4254841156260003,False,False,False,False,False,False,True
365,150000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.918390573078392,0.4820505404977688,False,False,False,False,False,False,True
366,170000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.043553716032399,0.6908914687937134,False,False,False,False,False,False,True
367,157872,70000.0,160000.0,90000.0,-65000.0,295000.0,11.969539857096947,0.5673956645015122,False,False,False,False,False,False,True
368,160000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.982929094215963,0.5897362724721619,False,False,False,False,False,False,True
369,170000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.043553716032399,0.6908914687937134,False,False,False,False,False,False,True
370,195000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.180754837545884,0.9198183629565582,False,False,False,False,False,False,True
371,191510,70000.0,160000.0,90000.0,-65000.0,295000.0,12.162695305560606,0.8896851357509925,False,False,False,False,False,False,True
372,200000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.206072645530174,0.962062384615559,False,False,False,False,False,False,True
373,183138,70000.0,160000.0,90000.0,-65000.0,295000.0,12.117995245994907,0.8151008634623448,False,False,False,False,False,False,True
374,185982,70000.0,160000.0,90000.0,-65000.0,295000.0,12.133405173818865,0.8408130943617519,False,False,False,False,False,False,True
375,55000,70000.0,160000.0,90000.0,-65000.0,295000.0,10.915088464214607,-1.1920089216666452,False,False,False,False,False,False,True
376,180000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.100712129872347,0.7862631247343529,False,False,False,False,False,False,True
377,155000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.951180395901384,0.5367619904933111,False,False,False,False,False,False,True
378,185000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.128111104060462,0.8319796756994018,False,False,False,False,False,False,True
379,185000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.128111104060462,0.8319796756994018,False,False,False,False,False,False,True
380,180000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.100712129872347,0.7862631247343529,False,False,False,False,False,False,True
381,115000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.652687407345388,0.03871159523620264,False,False,False,False,False,False,True
382,195000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.180754837545884,0.9198183629565582,False,False,False,False,False,False,True
383,170000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.043553716032399,0.6908914687937134,False,False,False,False,False,False,True
384,150000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.918390573078392,0.4820505404977688,False,False,False,False,False,False,True
385,160000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.982929094215963,0.5897362724721619,False,False,False,False,False,False,True
386,185000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.128111104060462,0.8319796756994018,False,False,False,False,False,False,True
387,210000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.254862809699606,1.0434711998336303,False,False,False,False,False,False,True
388,170000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.043553716032399,0.6908914687937134,False,False,False,False,False,False,True
389,160000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.982929094215963,0.5897362724721619,False,False,False,False,False,False,True
390,210000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.254862809699606,1.0434711998336303,False,False,False,False,False,False,True
391,90000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.407564949312402,-0.37028741576341584,False,False,False,False,False,False,True
392,240000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.388394202324129,1.266274968852143,False,False,False,False,False,False,True
393,170000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.043553716032399,0.6908914687937134,False,False,False,False,False,False,True
394,160000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.982929094215963,0.5897362724721619,False,False,False,False,False,False,True
395,190000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.154779351142624,0.8764769721496105,False,False,False,False,False,False,True
396,168000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.031719258385396,0.6711450876902331,False,False,False,False,False,False,True
397,195000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.180754837545884,0.9198183629565582,False,False,False,False,False,False,True
398,55000,70000.0,160000.0,90000.0,-65000.0,295000.0,10.915088464214607,-1.1920089216666452,False,False,False,False,False,False,True
399,180000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.100712129872347,0.7862631247343529,False,False,False,False,False,False,True
400,151310,70000.0,160000.0,90000.0,-65000.0,295000.0,11.927085991445617,0.49655927846066994,False,False,False,False,False,False,True
401,219000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.296827008798639,1.1134905528811823,False,False,False,False,False,False,True
402,173582,70000.0,160000.0,90000.0,-65000.0,295000.0,12.064405389196612,0.7256835224075959,False,False,False,False,False,False,True
403,170000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.043553716032399,0.6908914687937134,False,False,False,False,False,False,True
404,190000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.154779351142624,0.8764769721496105,False,False,False,False,False,False,True
405,180000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.100712129872347,0.7862631247343529,False,False,False,False,False,False,True
406,190000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.154779351142624,0.8764769721496105,False,False,False,False,False,False,True
407,190000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.154779351142624,0.8764769721496105,False,False,False,False,False,False,True
408,185000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.128111104060462,0.8319796756994018,False,False,False,False,False,False,True
409,182000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.111761966058932,0.8047003259124382,False,False,False,False,False,False,True
410,180000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.100712129872347,0.7862631247343529,False,False,False,False,False,False,True
411,130000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.77528972943772,0.2432796665765797,False,False,False,False,False,False,True
412,190596,70000.0,160000.0,90000.0,-65000.0,295000.0,12.157911283623156,0.88170275724223,False,False,False,False,False,False,True
413,195000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.180754837545884,0.9198183629565582,False,False,False,False,False,False,True
414,160000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.982929094215963,0.5897362724721619,False,False,False,False,False,False,True
415,140000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.84939770159144,0.3669325034536489,False,False,False,False,False,False,True
416,160000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.982929094215963,0.5897362724721619,False,False,False,False,False,False,True
417,150000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.918390573078392,0.4820505404977688,False,False,False,False,False,False,True
418,120000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.695247021764184,0.10972442835437447,False,False,False,False,False,False,True
419,190000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.154779351142624,0.8764769721496105,False,False,False,False,False,False,True
420,119836,70000.0,160000.0,90000.0,-65000.0,295000.0,11.693879420356877,0.10744251739640469,False,False,False,False,False,False,True
421,80000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.289781913656018,-0.566814268025607,False,False,False,False,False,False,True
422,140000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.84939770159144,0.3669325034536489,False,False,False,False,False,False,True
423,140000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.84939770159144,0.3669325034536489,False,False,False,False,False,False,True
424,185000,70000.0,160000.0,90000.0,-65000.0,295000.0,12.128111104060462,0.8319796756994018,False,False,False,False,False,False,True
425,150000,70000.0,160000.0,90000.0,-65000.0,295000.0,11.918390573078392,0.4820505404977688,False,False,False,False,False,False,True
